"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SUICIDE","TOT","100000PER","A","2017",13.6,
"AUT","SUICIDE","TOT","100000PER","A","2017",12.8,
"BEL","SUICIDE","TOT","100000PER","A","2017",14.8,
"CAN","SUICIDE","TOT","100000PER","A","2017",11.1,
"CZE","SUICIDE","TOT","100000PER","A","2017",12.8,
"DNK","SUICIDE","TOT","100000PER","A","2017",9.8,
"FIN","SUICIDE","TOT","100000PER","A","2017",14.8,
"FRA","SUICIDE","TOT","100000PER","A","2017",12.3,
"DEU","SUICIDE","TOT","100000PER","A","2017",9.9,
"GRC","SUICIDE","TOT","100000PER","A","2017",4.5,
"HUN","SUICIDE","TOT","100000PER","A","2017",15.7,
"ISL","SUICIDE","TOT","100000PER","A","2017",9.8,
"ITA","SUICIDE","TOT","100000PER","A","2017",5.8,
"JPN","SUICIDE","TOT","100000PER","A","2017",15.2,
"KOR","SUICIDE","TOT","100000PER","A","2017",23.8,
"LUX","SUICIDE","TOT","100000PER","A","2017",8.7,
"MEX","SUICIDE","TOT","100000PER","A","2017",5.5,
"NLD","SUICIDE","TOT","100000PER","A","2017",10.8,
"POL","SUICIDE","TOT","100000PER","A","2017",11.3,
"PRT","SUICIDE","TOT","100000PER","A","2017",9.1,
"SVK","SUICIDE","TOT","100000PER","A","2017",6.7,
"ESP","SUICIDE","TOT","100000PER","A","2017",7.2,
"SWE","SUICIDE","TOT","100000PER","A","2017",11.7,
"CHE","SUICIDE","TOT","100000PER","A","2017",11.6,
"GBR","SUICIDE","TOT","100000PER","A","2017",7.1,
"USA","SUICIDE","TOT","100000PER","A","2017",14.8,
"BRA","SUICIDE","TOT","100000PER","A","2017",6.5,
"CHL","SUICIDE","TOT","100000PER","A","2017",10.5,
"EST","SUICIDE","TOT","100000PER","A","2017",16.5,
"ISR","SUICIDE","TOT","100000PER","A","2017",5.6,
"SVN","SUICIDE","TOT","100000PER","A","2017",18.1,
"ZAF","SUICIDE","TOT","100000PER","A","2017",0.7,
"COL","SUICIDE","TOT","100000PER","A","2017",5.7,
"LVA","SUICIDE","TOT","100000PER","A","2017",17.3,
"LTU","SUICIDE","TOT","100000PER","A","2017",25,
"CRI","SUICIDE","TOT","100000PER","A","2017",5.7,
"ARG","SUICIDE","TOT","100000PER","A","2017",7.8,
"BGR","SUICIDE","TOT","100000PER","A","2017",8.9,
"HRV","SUICIDE","TOT","100000PER","A","2017",14,
"PER","SUICIDE","TOT","100000PER","A","2017",1.3,
"ROU","SUICIDE","TOT","100000PER","A","2017",9.4,
