"Category","Average Minimum Surface Air Temperature","Average Mean Surface Air Temperature","Average Maximum Surface Air Temperature","Precipitation"
"Jan",-32.73,-28.69,-24.7,45.32
"Feb",-34.49,-30.34,-26.25,41.24
"Mar",-33.81,-29.46,-25.16,41.23
"Apr",-27.54,-22.91,-18.33,34.19
"May",-16.8,-12.75,-8.76,28.76
"Jun",-9.92,-6.18,-2.47,28.85
"Jul",-7.12,-3.42,0.26,33.98
"Aug",-9.01,-5.4,-1.81,39.23
"Sep",-15.96,-12.58,-9.24,45.08
"Oct",-23.76,-20.53,-17.35,39.43
"Nov",-28.74,-24.98,-21.27,45.3
"Dec",-31.56,-27.67,-23.83,45.52
